fecha,jurisdiccion,sorteo,numero,posicion
2025-12-16,SALTA,La Revancha,6423,3
2025-12-16,SALTA,La Revancha,5190,4
2025-12-16,SALTA,La Revancha,3887,5
2025-12-16,SALTA,La Revancha,8730,6
2025-12-16,SALTA,La Revancha,3860,7
2025-12-16,SALTA,La Revancha,7157,8
2025-12-16,SALTA,La Revancha,2670,9
2025-12-16,SALTA,La Revancha,8887,10
2025-12-16,SALTA,La Revancha,4418,11
2025-12-16,SALTA,La Revancha,0546,12
2025-12-16,SALTA,La Revancha,1651,13
2025-12-16,SALTA,La Revancha,7702,14
2025-12-16,SALTA,La Revancha,7785,15
2025-12-16,SALTA,La Revancha,2949,16
2025-12-16,SALTA,La Revancha,2257,17
2025-12-16,SALTA,La Revancha,8078,18
2025-12-16,SALTA,La Revancha,5508,19
2025-12-16,SALTA,La Revancha,5793,20
2025-12-16,SALTA,Matutina,3650,1
2025-12-16,SALTA,Matutina,6363,2
2025-12-16,SALTA,Matutina,8949,3
2025-12-16,SALTA,Matutina,6859,4
2025-12-16,SALTA,Matutina,0974,5
2025-12-16,SALTA,Matutina,6012,6
2025-12-16,SALTA,Matutina,4324,7
2025-12-16,SALTA,Matutina,4496,8
2025-12-16,SALTA,Matutina,3634,9
